date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:34	1001/1001	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:33%20GMT	https://static.tildacdn.com/tild3839-3239-4835-b938-333064393531/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3839-3239-4835-b938-333064393531/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:08:34	110207/110207	---M--	200	added ('OK')	image/jpeg	etag:%228eadc9b31a6e6e4b074bf747fc64893e%22	https://static.tildacdn.com/tild3839-3239-4835-b938-333064393531/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3839-3239-4835-b938-333064393531/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:08:36	1001/1001	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:35%20GMT	https://static.tildacdn.com/tild3735-3532-4530-b438-646237313935/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3735-3532-4530-b438-646237313935/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:08:36	102712/102712	---M--	200	added ('OK')	image/jpeg	etag:%22f91b8a9dee1e81b65ef02e44cbf469ff%22	https://static.tildacdn.com/tild3735-3532-4530-b438-646237313935/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3735-3532-4530-b438-646237313935/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:08:38	1001/1001	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:37%20GMT	https://static.tildacdn.com/tild6637-6165-4061-a265-353639383138/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild6637-6165-4061-a265-353639383138/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:08:38	116147/116147	---M--	200	added ('OK')	image/jpeg	etag:%224061e5a884332acaf92a5e288fa78811%22	https://static.tildacdn.com/tild6637-6165-4061-a265-353639383138/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild6637-6165-4061-a265-353639383138/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:08:40	1001/1001	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:39%20GMT	https://static.tildacdn.com/tild6231-3432-4231-b638-323963336337/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild6231-3432-4231-b638-323963336337/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:08:40	107894/107894	---M--	200	added ('OK')	image/jpeg	etag:%2273ddec9839d3a8d7851e00ed7e8758fd%22	https://static.tildacdn.com/tild6231-3432-4231-b638-323963336337/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild6231-3432-4231-b638-323963336337/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:08:42	1022/1022	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:41%20GMT	https://static.tildacdn.com/tild3530-6635-4539-a435-356465643762/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3530-6635-4539-a435-356465643762/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:08:42	116372/116372	---M--	200	added ('OK')	image/jpeg	etag:%22aa626ab21ad59bb5f8cbd9fa467e352f%22	https://static.tildacdn.com/tild3530-6635-4539-a435-356465643762/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3530-6635-4539-a435-356465643762/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:08:44	85/85	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2018:08:43%20GMT	https://static.tildacdn.com/tild3665-3334-4830-b533-373663623938/-/resize/20x/photo.png	/home/user/websites/almaty/static.tildacdn.com/tild3665-3334-4830-b533-373663623938/-/resize/20x/photo.png	(from https://www.strela-academy.ru/)
00:08:44	53330/53330	---M--	200	added ('OK')	image/png	etag:%22086aec8390b8968b2000c7a78df2d957%22	https://static.tildacdn.com/tild3363-3830-4231-a366-646362646136/mastercard.png	/home/user/websites/almaty/static.tildacdn.com/tild3363-3830-4231-a366-646362646136/mastercard.png	(from https://www.strela-academy.ru/)
00:08:45	20312/20312	---M--	200	added ('OK')	image/png	etag:%22473eb5f0e0b4bccf5e0eaaae27deca90%22	https://static.tildacdn.com/tild6432-6433-4564-b761-653933636361/visa.png	/home/user/websites/almaty/static.tildacdn.com/tild6432-6433-4564-b761-653933636361/visa.png	(from https://www.strela-academy.ru/)
00:08:47	8458/8458	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d19d52e-210a%22	https://stat.tildacdn.com/js/tildastat-0.2.min.js	/home/user/websites/almaty/stat.tildacdn.com/js/tildastat-0.2.min.js	(from https://www.strela-academy.ru/)
00:08:47	819/819	---M--	200	added ('OK')	image/png	etag:%22008f3580b6c16d8902b62bf0982176c8%22	https://static.tildacdn.com/img/tildacopy.png	/home/user/websites/almaty/static.tildacdn.com/img/tildacopy.png	(from https://www.strela-academy.ru/)
00:08:49	353/353	---M--	404	error ('Not%20Found')	text/html	etag:%22161-567708df205c0%22	https://tilda.ws/robots.txt		(from https://www.strela-academy.ru/)
00:08:50	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%22d3b8d8cde26b65f660ff8f8b0879ee94%22	https://static.tildacdn.com/robots.txt		(from https://www.strela-academy.ru/)
00:08:51	817/817	---MCZ	200	added ('OK')	text/plain	date:Mon,%2030%20Nov%202020%2018:08:50%20GMT	https://www.facebook.com/robots.txt		(from https://www.strela-academy.ru/)
00:08:52	93064/93064	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225e172401-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	/home/user/websites/almaty/static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://www.strela-academy.ru/)
00:09:01	4130/4130	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f338e6b-1022%22	https://static.tildacdn.com/js/rentafont_webfonts.js	/home/user/websites/almaty/static.tildacdn.com/js/rentafont_webfonts.js	(from https://www.strela-academy.ru/)
00:09:02	43318/43318	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f9ac39b-a936%22	https://static.tildacdn.com/js/tilda-scripts-2.8.min.js	/home/user/websites/almaty/static.tildacdn.com/js/tilda-scripts-2.8.min.js	(from https://www.strela-academy.ru/)
00:09:03	16275/16275	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fbcf6f3-3f93%22	https://static.tildacdn.com/js/lazyload-1.3.min.js	/home/user/websites/almaty/static.tildacdn.com/js/lazyload-1.3.min.js	(from https://www.strela-academy.ru/)
